
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.34460893246187363		0.5741666666666667		0.42652842864856194
3	0.30798317274123727		0.5141666666666667		0.3799245553192657
4	0.288089691073562		0.48291666666666666		0.35834609588482536
5	0.3344749232249232		0.5520833333333333		0.4125417955710155
6	0.30789737849234416		0.52625					0.37994163500091055
7	0.29525295719247324		0.50125					0.3675532523453418
8	0.31972102514541256		0.5458333333333332		0.39941165126809575
9	0.3265860082678489		0.5199999999999999		0.39194856949163676
10	0.3269133042214244		0.5266666666666666		0.3970625450585866
11	0.34058087690025957		0.5466666666666666		0.409278211281998
12	0.319632022406546		0.5329166666666666		0.39472193439543674
13	0.32728819392612496		0.5520833333333333		0.40739012115105017
14	0.31245925873643265		0.5258333333333333		0.38897486018938127
15	0.2889338698545566		0.50875					0.36627994779491047
16	0.3177500788261658		0.5462499999999999		0.39860852190105556
17	0.29173251466729727		0.48749999999999993		0.3639412489794215
18	0.2744122504034846		0.4425					0.3355231433570765
19	0.296361117839814		0.4933333333333333		0.3693222883544532
20	0.3077638801624287		0.5129166666666667		0.38177538055974114
21	0.321478530090599		0.5125					0.39176540071345684

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.33185270523980204		0.5445833333333333		0.4083009727193353
4	0.32293596487144877		0.56375					0.4077943633748398
5	0.30305570698715856		0.51125					0.3768228008249863
6	0.2976189425542874		0.5058333333333334		0.37071910914369693
7	0.34487288000825356		0.5708333333333333		0.4260240214824006
8	0.32478008021390375		0.5504166666666668		0.4045563534245794
9	0.3262973550834033		0.55125					0.4043174496358821
10	0.3276625643626151		0.5054166666666666		0.3881396496800636
11	0.3066768613401474		0.48875					0.3733568799007495
12	0.29116840382618786		0.47458333333333325		0.3551379348881555
13	0.3066379553144259		0.5175					0.3790715636239853
14	0.34342107726798665		0.5058333333333334		0.4031949655082959
15	0.30722677081372735		0.5179166666666667		0.38081556085500945
16	0.348228399619704		0.5508333333333334		0.422074792986218
17	0.33695475406011244		0.5375					0.40777852516509505
18	0.3402146491163693		0.5825					0.4247672246964143
19	0.30858276707812315		0.5058333333333334		0.3815275195349458
20	0.3276627496722558		0.5045833333333333		0.39203118829087036
21	0.2912489593739594		0.4933333333333333		0.36366791997798864
22	0.31875714550771755		0.5308333333333334		0.39579844892050037

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.3069427172444414		0.5387500000000001		0.38676302690307
