
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.22430437536790718		0.5341666666666666		0.31244005129480346
3	0.206021289203834		0.4820833333333333		0.28554170689572367
4	0.22149150020162267		0.5008333333333334		0.3035515025210041
5	0.18859302870386616		0.44875					0.26405295578177196
6	0.18816938266322725		0.4625					0.2665920456778733
7	0.1779462998025108		0.44750000000000006		0.2542952829300682
8	0.1690099593540215		0.42458333333333337		0.24046923171784435
9	0.1814266210542806		0.4429166666666666		0.25556034283747187
10	0.18564647118444338		0.4370833333333334		0.2583174180565584
11	0.18014078048133778		0.43125					0.252601853432804
12	0.18056255838284135		0.43499999999999994		0.2518131607439883
13	0.19548328723874006		0.4758333333333333		0.2737175672374479
14	0.1961563968149334		0.48166666666666663		0.2770444704981233
15	0.1973140813666534		0.46208333333333335		0.27395272060939224
16	0.17545517009733955		0.4295833333333333		0.24839513700694674
17	0.19449786486123696		0.46791666666666665		0.2737772958454463
18	0.1996387536899871		0.4875					0.2815734974820244
19	0.20806440540136192		0.5133333333333333		0.29472127250540475
20	0.1948015831296636		0.46208333333333335		0.2730795607458526
21	0.20250144925607344		0.4883333333333333		0.28357725932237204

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.16464000352898447		0.4029166666666667		0.23303771325115244
4	0.17964674038139994		0.44750000000000006		0.2545357365754061
5	0.19439921969458493		0.4804166666666666		0.2746552498166103
6	0.186417780887674		0.45583333333333337		0.26350666977624976
7	0.17120971700486903		0.42416666666666664		0.23932348757859973
8	0.16988351429474396		0.42333333333333334		0.2407400055269387
9	0.18358432068984634		0.46291666666666675		0.2612195550158511
10	0.181273550534404		0.48125000000000007		0.2613761641175221
11	0.17962205609648388		0.4570833333333334		0.25635173242432774
12	0.17660383924152895		0.4624999999999999		0.2539331186161392
13	0.181470192764776		0.46875					0.25846068881328915
14	0.18992446999545992		0.4820833333333333		0.26963766095068853
15	0.19079902889162254		0.48083333333333333		0.27150894846249884
16	0.2066241760766243		0.52625					0.29517925285849583
17	0.17416310636174376		0.4295833333333333		0.24688941214818452
18	0.17030400312428556		0.39749999999999996		0.23679487167676977
19	0.20649523280337231		0.44833333333333336		0.2787116909917259
20	0.2011606173654048		0.48666666666666664		0.2836772707135819
21	0.20583611834681959		0.47458333333333325		0.28516247180606535
22	0.17536490140247024		0.4229166666666667		0.24709858804967152

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.1753445596423962		0.40875000000000006		0.24486795182920704
5	0.2042166026871909		0.49458333333333326		0.28578940925884605
6	0.2138729517825443		0.5137499999999999		0.299476485361961
7	0.20294068245766378		0.46875					0.281011881400112
8	0.17743654289385996		0.4487500000000001		0.25282918819589534
