
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
2	0.13273733064515017		0.7541666666666667		0.2243907784763773		0.1
3	0.13218524497039502		0.7604166666666667		0.223932179342572		0.1
4	0.1310921905378807		0.7604166666666667		0.2223783257108062		0.1
5	0.13086351151608133		0.7604166666666667		0.22204475219206357		0.1
6	0.13070686625625014		0.7604166666666667		0.22180311305762562		0.1
7	0.1292555548244046		0.7604166666666667		0.21983840228652704		0.1
8	0.13176695968344762		0.78					0.2243670993655082		0.1
9	0.13035818627256676		0.78					0.22236148485524287		0.1
10	0.12547338446846762		0.78					0.2153610139266279		0.1
11	0.12555139361408457		0.78625					0.2157336586275626		0.1
12	0.12545683203659833		0.78625					0.21556598850305417		0.1
13	0.12414754403859977		0.78625					0.21362521545811544		0.1
14	0.12309802908036382		0.78625					0.21216014882714976		0.1
15	0.12265398648169161		0.78625					0.21148243575598674		0.1
16	0.12212107279477968		0.78625					0.2106638081931064		0.1
17	0.12089332062291466		0.7795833333333333		0.20858794753651438		0.1
18	0.12239331211788955		0.78625					0.21100110333184569		0.1
19	0.1209249587363935		0.78625					0.20888460443869553		0.1
20	0.11980998882336584		0.7929166666666666		0.20757692595630264		0.1
21	0.1192233757437351		0.7929166666666666		0.20668749921445945		0.1

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.1377817433078957		0.75375					0.2312051479741079		0.1
4	0.1363861555469817		0.7475					0.22897828042399607		0.1
5	0.13633634785374665		0.7475					0.22888057389522887		0.1
6	0.13515759382783396		0.7475					0.2272905370994239		0.1
7	0.13355024699128387		0.7475					0.22516877493438137		0.1
8	0.13384626086878612		0.76					0.2262652208214369		0.1
9	0.13316598783468064		0.76					0.22525947173040634		0.1
10	0.130143970480118		0.76					0.22108962380655012		0.1
11	0.12960606518166		0.7662500000000001		0.2206145726107009		0.1
12	0.1299300552596842		0.7662500000000001		0.22104226702658408		0.1
13	0.1303225747450449		0.7729166666666667		0.22187086971048356		0.1
14	0.12975258896203642		0.7729166666666667		0.22110419277202845		0.1
15	0.129075372951877		0.7729166666666667		0.22006705242094643		0.1
