
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
2	0.38089510365448526		0.7416666666666666		0.49767123733633634		1.0
3	0.37479217307096235		0.7429166666666667		0.492437018320377		1.0
4	0.3716999256519616		0.7558333333333334		0.4920026866032308		1.0
5	0.36001182937368076		0.7433333333333334		0.4787028164708779		1.0
6	0.34413498732826464		0.7495833333333334		0.4660045929133886		1.0
7	0.3286980875480846		0.7366666666666667		0.4502677821047832		1.0
8	0.3217818010943262		0.7304166666666667		0.4423454209506941		1.0
9	0.31522436632894923		0.7304166666666667		0.4365091899823419		1.0
10	0.31778113786022677		0.7429166666666667		0.4416855068442305		1.0
11	0.31157585592214093		0.7429166666666667		0.4352103466156687		1.0
12	0.3136416160332764		0.7370833333333333		0.43656363340590704		1.0
13	0.3073480162341852		0.7370833333333333		0.43076292746001127		1.0
14	0.3017628412667496		0.7433333333333334		0.4262574893777901		1.0
15	0.30222027505507354		0.7433333333333334		0.426569283361252		1.0
16	0.3026541518783375		0.7495833333333334		0.4285532660655938		1.0
17	0.2992606082771278		0.7495833333333334		0.425398445471191		1.0
18	0.28986618018888255		0.7433333333333334		0.41514346319164674		1.0
19	0.28763151919563285		0.7433333333333334		0.41311815477145764		1.0
20	0.2846149129690687		0.7433333333333334		0.41015264461881473		1.0
21	0.2820459475544087		0.75					0.408431220280868		1.0

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.40962783182528356		0.6591666666666666		0.4953454042039632		1.0
4	0.39862626775701443		0.6916666666666667		0.4964862467142047		1.0
5	0.4003871814284528		0.7112499999999999		0.5024578467959927		1.0
6	0.3888423710373426		0.7233333333333333		0.49447392506711874		1.0
7	0.3588847350155205		0.7108333333333332		0.468854577103696		1.0
8	0.35139237402113344		0.7170833333333333		0.46301235507333727		1.0
9	0.3517255615162902		0.7370833333333334		0.46744384156576296		1.0
10	0.3467221622130344		0.7366666666666667		0.46247245856420943		1.0
11	0.33355680733831994		0.72375					0.449948469622145		1.0
12	0.3386531492057143		0.7366666666666666		0.4565875745383942		1.0
13	0.333831330767448		0.7366666666666666		0.452214524890286		1.0
14	0.3251990031649627		0.7429166666666667		0.4463109227422146		1.0
15	0.31489175019341903		0.7370833333333333		0.43521205949723274		1.0
16	0.3141054830258816		0.7433333333333334		0.43654316760835143		1.0
17	0.3142357086259525		0.7370833333333333		0.43418601961995396		1.0
18	0.3032950322649189		0.7304166666666666		0.42438870672508466		1.0
19	0.2992050873319386		0.7370833333333333		0.4220495963579386		1.0
20	0.297460564250038		0.7437500000000001		0.42199598545791633		1.0
21	0.28842835658625127		0.7370833333333333		0.4119735919106957		1.0
22	0.29100321934964535		0.7433333333333334		0.415687774136633		1.0

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.39653729750078637		0.6983333333333334		0.4969707408929329		1.0
5	0.3930138941224575		0.7045833333333332		0.4959310605536684		1.0
6	0.37912414478989304		0.7108333333333332		0.48476971620597664		1.0
7	0.35883807722133615		0.7045833333333332		0.4660466289763711		1.0
8	0.35073611473987415		0.7170833333333333		0.4625302788481667		1.0
9	0.35278838168292265		0.7370833333333334		0.46853355266718655		1.0
10	0.3467619061320855		0.7366666666666667		0.46278601280036435		1.0
11	0.33536636749961135		0.72375					0.4514501724602626		1.0
12	0.3349942591828871		0.7366666666666666		0.4532436200558868		1.0
13	0.3300255024494245		0.7304166666666666		0.44733505440880855		1.0
14	0.32336506836506834		0.7366666666666666		0.4432519196636946		1.0
15	0.31269048869398847		0.7370833333333333		0.4337107932572756		1.0
16	0.3115229866126822		0.7370833333333333		0.43294402196098175		1.0
17	0.3141555607577475		0.7370833333333333		0.43489141760456684		1.0
18	0.3004616916269303		0.7304166666666666		0.42194538822295674		1.0
19	0.29811228602861095		0.7370833333333333		0.4214113686728692		1.0
20	0.29785714441405997		0.7437500000000001		0.42237712000620464		1.0
21	0.2910900638419196		0.7433333333333334		0.4156438818256401		1.0
22	0.2895996202753925		0.7429166666666667		0.41417685689344896		1.0
23	0.28681129507485675		0.7429166666666667		0.4116345809090888		1.0




