
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
2	0.4229139630390371		0.6525					0.49960934873049967		1.0
3	0.3870952246206915		0.6458333333333333		0.4714992967924051		1.0
4	0.3680475732574334		0.6533333333333333		0.4618800640661528		1.0
5	0.35805506413091553		0.6666666666666667		0.4571062419574403		1.0
6	0.3504036520754787		0.6733333333333335		0.4536322304102587		1.0
7	0.35305491212503304		0.68625					0.45914378616594814		1.0
8	0.3402286664162518		0.7054166666666667		0.4520154517250048		1.0
9	0.3413950018231286		0.73125					0.4599647752753343		1.0
10	0.3292911465815285		0.7375					0.4500319073772977		1.0
11	0.3281062695132463		0.73125					0.4481351317395029		1.0
12	0.32156059587884733		0.7179166666666668		0.4391586524871781		1.0
13	0.31200257264422765		0.7241666666666667		0.43146092366517463		1.0
14	0.31975093694882795		0.7554166666666667		0.44367312907298695		1.0
15	0.3132628616440575		0.755					0.4382284911745574		1.0
16	0.3108384922859225		0.7491666666666666		0.43480625470945683		1.0
17	0.3098120466225106		0.7491666666666666		0.43355364260493656		1.0
18	0.30446811698119947		0.7491666666666666		0.4288765279388603		1.0
19	0.30099815071692243		0.7366666666666666		0.4236988506351068		1.0
20	0.29597340978667086		0.7429166666666667		0.4194415699773355		1.0
21	0.2884834152558583		0.7295833333333334		0.4095783067967672		1.0

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.39132242880557305		0.6333333333333333		0.469898031463995		1.0
4	0.37822949419713303		0.6341666666666667		0.459711946686547		1.0
5	0.37053064858063794		0.6604166666666667		0.4623913154340184		1.0
6	0.35216403548292097		0.6795833333333334		0.4538864221640634		1.0
7	0.35500715204225647		0.68625					0.4577476201971116		1.0
8	0.35183610873548954		0.6929166666666667		0.45696320408236657		1.0
9	0.3554745512092743		0.74375					0.4745466477630246		1.0
10	0.35485418165217975		0.7370833333333333		0.4721333078770032		1.0
11	0.35143570272260904		0.7308333333333333		0.46733398407666343		1.0
12	0.33963519813519816		0.7241666666666667		0.45528125731107005		1.0
13	0.33642848915736534		0.7304166666666667		0.4533600567485829		1.0
14	0.3336423320878061		0.7554166666666667		0.45498927717508186		1.0
15	0.32198506200840815		0.7483333333333333		0.44420741301256167		1.0
16	0.3153917264425431		0.7424999999999999		0.43741379370361744		1.0
17	0.31669862779093794		0.7554166666666666		0.4412455685245883		1.0
18	0.31294763965997113		0.7616666666666666		0.439702389254097		1.0
19	0.31447900105988336		0.7683333333333333		0.4421734873718045		1.0
20	0.3100851868960751		0.7683333333333333		0.4376456626899028		1.0
21	0.3066986440322155		0.7616666666666667		0.4329302043654268		1.0
22	0.30359584518799065		0.7491666666666668		0.4278371181079068		1.0

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.3764725597432971		0.6341666666666667		0.45772835797507777		1.0
5	0.3589860470626724		0.6604166666666667		0.45526431351791474		1.0
6	0.3511410134395759		0.6795833333333334		0.4537759424698365		1.0
7	0.3524595863722792		0.6858333333333333		0.45607425897290277		1.0
8	0.36195544157105297		0.7120833333333334		0.46939675357383387		1.0
9	0.35678613878906756		0.74375					0.47483462928671605		1.0
10	0.35410402661269		0.7433333333333334		0.4725657220443543		1.0
11	0.35740098062379		0.7370833333333333		0.4731165121194943		1.0
12	0.34447364500008854		0.7300000000000001		0.4604831123067988		1.0
13	0.33602977275786533		0.7300000000000001		0.45307282527396586		1.0
14	0.3348416268182799		0.7550000000000001		0.4557674135407336		1.0
15	0.327626029255546		0.7483333333333334		0.44883877668308453		1.0
16	0.3160004094012193		0.7358333333333333		0.43581247160234016		1.0
17	0.3154324324324324		0.74875					0.4375035871765112		1.0
18	0.3125846952110324		0.7554166666666667		0.4373190352395893		1.0
19	0.3144157902720194		0.74875					0.43790219687648657		1.0
20	0.3088449485190531		0.7554166666666667		0.43366609426820607		1.0
21	0.3113687552147665		0.7616666666666667		0.43744469356270005		1.0
22	0.30994420402133915		0.7558333333333334		0.43513277078962		1.0
23	0.3124860952080125		0.76875					0.4402941177639555		1.0




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
2	0.3872307993167658		0.7237500000000001		0.4984345017074815		0.1
3	0.3700210625210751		0.7366666666666667		0.4864904081894723		0.1
4	0.3736348928454192		0.7625					0.49555902684183295		0.1
5	0.3634630541871921		0.75625					0.4852186738839924		0.1
6	0.3601750151017311		0.76875					0.48427329225836696		0.1
7	0.3474016363925375		0.7691666666666667		0.4729714987195305		0.1
8	0.3492808360338848		0.7754166666666666		0.4758701692317654		0.1
9	0.33612402666335006		0.7758333333333333		0.4642346799153386		0.1
10	0.33319176192900113		0.7691666666666667		0.4593068280181988		0.1
11	0.3391129002292884		0.7816666666666666		0.46720514740929264		0.1
12	0.33746548421740236		0.7941666666666667		0.46759528252989047		0.1
13	0.332176452596849		0.7941666666666667		0.46281094868263806		0.1
14	0.3329708659014418		0.8						0.4645763867591685		0.1
