
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.6122619047619047		0.4541666666666667		0.5080579766372193
3	0.6287254901960784		0.4341666666666666		0.5022525440898513
4	0.6499043062200955		0.4533333333333333		0.5199163557859209
5	0.6518181818181817		0.45958333333333334		0.5243119601815254
6	0.6456060606060606		0.4466666666666666		0.5123119601815254
7	0.642550505050505		0.4533333333333333		0.5158592444384871
8	0.6529671717171717		0.4533333333333333		0.5194076315352613
9	0.645032562466773		0.4341666666666666		0.5038933068905018
10	0.6264520202020203		0.4408333333333333		0.5036878393448808
11	0.6223484848484848		0.4345833333333333		0.49942401330164304
12	0.6168055555555556		0.42833333333333334		0.49195564561268706
13	0.6197467320261438		0.42833333333333334		0.4935599236875534
14	0.6218300653594773		0.4220833333333333		0.48770878557835073
15	0.6241004471964224		0.4354166666666667		0.4950085691281343
16	0.6148168876187452		0.42874999999999996		0.4860277172852136
17	0.6181502209520786		0.4416666666666666		0.49895412421162044
18	0.6377850877192982		0.44833333333333336		0.5108463979659632
19	0.6126246599118115		0.4416666666666667		0.5008978738652652
20	0.6136961322990734		0.46125000000000005		0.5141028243385815
21	0.6112369248398661		0.45458333333333345		0.5068234135389307

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.582675422487729		0.6599999999999999		0.6060918833471152
4	0.5883050406765576		0.6533333333333333		0.6070524373163159
5	0.5807823600548059		0.6208333333333333		0.587204139159331
6	0.5957895241657385		0.63375					0.6030638116845013
7	0.5936390963267898		0.6133333333333333		0.5915642296626069
8	0.5942220988505817		0.6333333333333334		0.6013707111244057
9	0.5795640047516983		0.5883333333333333		0.5727352133817651
10	0.5933530848236731		0.595					0.5836639428289748
11	0.5848248638186718		0.5816666666666667		0.5730581233447447
12	0.5846273489152745		0.5945833333333332		0.5814042329484608
13	0.5923187571831748		0.5941666666666666		0.5824842260136378
14	0.5905695122760352		0.5879166666666666		0.5778654896301955
15	0.5819506801277912		0.5816666666666667		0.573101038395156
16	0.5882716295601959		0.5941666666666666		0.5819296607531902
17	0.5825958183543323		0.56875					0.5664076971784882
18	0.5806529899409156		0.55625					0.5575432242473142
19	0.5811625783916806		0.55625					0.5591627158668058
20	0.5780821838406978		0.5504166666666667		0.5529105694672086
21	0.5691178148763288		0.5508333333333333		0.5485062636835926
