
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.1668643415545486		0.4133333333333333		0.224721737786525
3	0.1663553969795204		0.38666666666666666		0.21718466891325344
4	0.14666970080453767		0.34833333333333333		0.19559854143634176
5	0.1471750284828826		0.34833333333333333		0.19447779484569655
6	0.14830377733904873		0.355					0.1971272925589242
7	0.1422071333941727		0.34208333333333335		0.18878502885572895
8	0.14053374590411047		0.32958333333333334		0.18477743585982967
9	0.14434617921212958		0.33625000000000005		0.1897902422101077
10	0.14108699443714745		0.33					0.1855263290036009
11	0.1429749654040658		0.33666666666666667		0.1885304876681369
12	0.14462081954991995		0.3433333333333334		0.19122063259191466
13	0.14462081954991995		0.3433333333333334		0.19122063259191466
14	0.13955635752034826		0.3304166666666667		0.18369248411371458
15	0.1391398964749414		0.3304166666666667		0.183133214919514
16	0.13903157488166515		0.3304166666666667		0.18304907200928416
17	0.1367748461031972		0.3304166666666667		0.18213796187881037
18	0.13731909318739272		0.32375000000000004		0.18033066100299747
19	0.13731909318739272		0.32375000000000004		0.18033066100299747
20	0.14236798148024868		0.33					0.18486473282920018
21	0.1396011022018794		0.33					0.18368457923106957

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.17561928877122773		0.40625					0.22531438891510208
4	0.1606100889797865		0.36125					0.20490709874934562
5	0.15597581769939864		0.36125					0.20215798955249004
6	0.1604658595708512		0.375					0.20907311534210224
7	0.1517833699984287		0.35541666666666666		0.19830788138162098
8	0.14296640444602376		0.3491666666666667		0.1915171317211266
9	0.14852722991052508		0.3625					0.19911253055623773
10	0.14580848111015815		0.35625					0.19549838659810664
11	0.1428852681780172		0.34958333333333336		0.1914410692804639
12	0.14439348620413234		0.35625					0.19396342561381796
13	0.14498871319974713		0.35625					0.19467590742390198
14	0.143011824572778		0.35					0.19134042927440284
15	0.14262457285916416		0.35					0.19081407477556142
16	0.14002835974237454		0.3433333333333334		0.1870968957329815
17	0.13978394018961032		0.3433333333333334		0.1869363922364171
18	0.13799297104385272		0.3366666666666667		0.18410486403614207
19	0.13851614987366773		0.3366666666666667		0.18471492389251742
20	0.14061592912018608		0.3429166666666667		0.1879701002827172
21	0.13881046293630825		0.3429166666666667		0.1873269976661701
22	0.13895081381350124		0.3429166666666667		0.1875181109007616

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.17255146542785443		0.3879166666666667		0.2214500019176026
5	0.16542448274896093		0.38125000000000003		0.21489715737668305
6	0.1648281736215032		0.3816666666666667		0.21430667969270653
7	0.15891534416531528		0.36875					0.20698432668237246
8	0.1460683080705964		0.35583333333333333		0.19527928132973096
9	0.14856970514865248		0.3625					0.19875309518996245
10	0.1473675577715176		0.3625					0.19757876020412757
11	0.14283612346178623		0.34958333333333336		0.19102321685166038
12	0.14447198188254168		0.35625					0.1937222434178618
13	0.14463811014047634		0.35625					0.1939321217895285
14	0.1433568004511604		0.35					0.19151214888026735
15	0.1429626713156125		0.35					0.19097796244145543
16	0.14018509207758698		0.3433333333333334		0.18699197391820782
17	0.1397030099530501		0.3433333333333334		0.18648626196021856
18	0.14034589363941205		0.3433333333333334		0.18726392847311465
19	0.1404701172418965		0.3433333333333334		0.18742808715984519
20	0.1428361038455304		0.34958333333333336		0.190986294075503
21	0.14012559837339703		0.34958333333333336		0.18961215323608507
22	0.14025879850659714		0.34958333333333336		0.18979517771560922
23	0.14025879850659714		0.34958333333333336		0.18979517771560922




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.15938023397452167		0.3879166666666667		0.21735353120693807
3	0.16801438261938378		0.3616666666666667		0.21672073444047918
4	0.15894254245207898		0.355					0.2080345562523192
5	0.1574676035489158		0.3616666666666667		0.20826341698319034
6	0.15740296002224632		0.36208333333333337		0.20834144378872638
7	0.1491626338952003		0.3554166666666667		0.20019661684089587
8	0.14324835962010235		0.3425					0.19208334010603972
9	0.1465806846226951		0.34916666666666674		0.196447967227928
10	0.14532126562178888		0.34958333333333336		0.1952635462068521
11	0.1473493964076403		0.3625					0.19907807132039995
12	0.14888434192370306		0.3691666666666667		0.20166110713128388
13	0.1483290283348529		0.3691666666666667		0.20103263722233428
14	0.14486025608952674		0.35625					0.19534743987103825
15	0.1443821420336288		0.35625					0.19464711789759526
16	0.1437617690972497		0.35625					0.19398710410505132
17	0.14185859459343064		0.34958333333333336		0.1909435880494871
18	0.14001834737560906		0.34291666666666665		0.18801234693938484
19	0.140474434478755		0.34291666666666665		0.1886142111997857
20	0.14236540040647958		0.3491666666666667		0.19159194244363795
21	0.1405731144741681		0.3491666666666667		0.1909627250399763

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.17413734786718657		0.4						0.22904673846480966
