
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.5307936507936508		0.2804166666666667		0.34893670509904184
3	0.5238888888888888		0.24250000000000002		0.31523907960240727
4	0.512411616161616		0.2358333333333334		0.3068717466743783
5	0.538690476190476		0.2295833333333334		0.30905746249682176
6	0.5215584415584416		0.21041666666666664		0.2891173027328634
7	0.5188744588744588		0.21041666666666664		0.2842218382466061
8	0.5032683982683983		0.1983333333333333		0.2710812890812891
9	0.513030303030303		0.1983333333333333		0.2725964405964406
10	0.5112820512820513		0.21125					0.2853922580746537
11	0.4859673659673659		0.21166666666666667		0.2819299273019781
12	0.5113461538461539		0.22458333333333336		0.29769954754528255
13	0.5365842490842491		0.22416666666666668		0.30239147719373394
14	0.5921145521145521		0.23708333333333337		0.3233965909883214
15	0.6043367743367742		0.23708333333333337		0.32601563860736904
16	0.5660431235431236		0.23041666666666666		0.31607041982919837
17	0.5827097902097902		0.23000000000000004		0.31577189684188817
18	0.5716239316239317		0.22333333333333333		0.30758162647999304
19	0.5582905982905982		0.22333333333333333		0.30585002474839135
20	0.5645454545454545		0.21125					0.29798303400134063
21	0.5842460317460317		0.19166666666666665		0.28048468998583415

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.5245363296833886		0.4216666666666667		0.4528428698083612
4	0.5215634920634921		0.4020833333333333		0.43686971099855415
5	0.5012101868719516		0.4025					0.430370542424295
6	0.49762307953484425		0.40374999999999994		0.4304783309776298
7	0.48322557997558		0.38375					0.41520564415099914
8	0.46553849745026216		0.36541666666666667		0.3939036626098095
9	0.44426373626373633		0.34500000000000003		0.37137747048764713
10	0.44252284557547716		0.3454166666666667		0.37176638858271216
11	0.43113980463980467		0.32					0.349806011218617
12	0.42443416486894747		0.31375000000000003		0.34545475502781003
13	0.44937113965886344		0.33291666666666664		0.36534248431307254
14	0.44104503339797463		0.31999999999999995		0.3549313426950344
15	0.435205733808675		0.31375					0.3491598386993124
16	0.4447360972360972		0.30083333333333334		0.3456785641531978
17	0.43382034632034633		0.30083333333333334		0.34219319262797526
18	0.4200337162837163		0.2945833333333333		0.3314991429016675
19	0.43591033966033965		0.29500000000000004		0.33725431365683817
20	0.44922619047619045		0.28833333333333333		0.33810688298766844
21	0.44336663336663334		0.2754166666666667		0.3304404669664137
22	0.44419996669996664		0.26875					0.32536868928173274

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.47245879120879114		0.4404166666666667		0.4395686471421766
5	0.4795244200244201		0.44125					0.4457141357073052
6	0.48863636363636365		0.44208333333333333		0.45410222583657117
7	0.46771443425855186		0.4220833333333333		0.4355488651133813
8	0.45727029343205816		0.4091666666666667		0.42362247703573397
9	0.43001485843591103		0.38958333333333334		0.39422376629443917
10	0.4289432789432789		0.37083333333333335		0.38314383065806223
11	0.3971338383838384		0.3329166666666667		0.3477814587373411
12	0.40459886128364386		0.32625000000000004		0.3492335198608018
13	0.4198261697023307		0.34541666666666665		0.3649318420998765
14	0.424441306270792		0.3516666666666667		0.3701068799935052
15	0.4213480115366305		0.34541666666666665		0.3664676040961648
16	0.4218452380952381		0.32625000000000004		0.35647060156690424
17	0.41542291042291046		0.31958333333333333		0.34856260335559097
18	0.4151677489177489		0.31333333333333335		0.34146428562265
19	0.42376976094081364		0.30083333333333334		0.3383307582295347
20	0.431827731092437		0.30124999999999996		0.3413319115071062
21	0.42030677655677656		0.2754166666666667		0.3226540040419351
22	0.42459249084249084		0.2816666666666667		0.3280303481279566
23	0.44642857142857134		0.2441666666666667		0.30778139235410595




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.4506717171717172		0.5683333333333332		0.4870814992663732
3	0.47021400642368383		0.575					0.5042132768498108
4	0.46863083984825715		0.5754166666666667		0.5008137682457732
5	0.45133125955696285		0.5825					0.4950983034485338
6	0.4398820134114252		0.5891666666666666		0.4919677740981586
7	0.4241150406939388		0.57625					0.4761882897481975
8	0.4175797069725181		0.5825000000000001		0.47687636783728476
9	0.4204631073223751		0.5950000000000001		0.4829656370011299
10	0.4156333973481899		0.6083333333333334		0.48405780481269867
11	0.41079940084848926		0.6212500000000001		0.48428050836481223
12	0.40247571592394243		0.6145833333333334		0.4779146501715599
13	0.39165214051960195		0.6141666666666666		0.4705365753519863
14	0.38990400156178556		0.6141666666666666		0.4687720099859679
15	0.39995245324850587		0.6337499999999999		0.48160834578403405
16	0.39877574165156543		0.6329166666666667		0.47978720671456826
17	0.40108994895841976		0.6329166666666667		0.48196373211769605
18	0.3948647892178194		0.62					0.4736909149816883
19	0.38894910281656425		0.62					0.47085138731564935
20	0.3860226809066036		0.6133333333333334		0.46689829901274205
21	0.386690618276296		0.5875					0.4604272636448279

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.4590044606179882		0.6391666666666665		0.5194923340607484
4	0.45426734002607017		0.6208333333333333		0.5074509011682653
5	0.43007385936605547		0.63375					0.5024875721405893
6	0.42583621057305265		0.6479166666666666		0.5039965209948649
7	0.41676529465575013		0.635					0.4944911117881182
8	0.41645834653940417		0.64125					0.49907298851438614
9	0.4175379751728636		0.6599999999999999		0.50496952278418
10	0.42194364851271227		0.6599999999999999		0.5086397177701525
11	0.41298533046103925		0.66625					0.502324058368762
12	0.41416262357899536		0.6725000000000001		0.5067683365947644
13	0.4032010806586358		0.6591666666666666		0.4947698332736696
14	0.39596095808207943		0.6654166666666665		0.4911116428640289
15	0.4031685233662577		0.67875					0.5002539139896884
16	0.39859859778757234		0.6716666666666666		0.49443684566025
17	0.40111875907789496		0.6716666666666666		0.4966994111859977
18	0.39002061450511677		0.6458333333333333		0.4813869731261036
19	0.3898377286149025		0.6458333333333333		0.4811641646650829
20	0.37937195644427557		0.6391666666666667		0.47109652223208087
21	0.36805440048604654		0.6133333333333334		0.4556193201155151
22	0.36322923946569785		0.6133333333333334		0.4520532379761343

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.4439354335780113		0.6337500000000001		0.5088913972102793
5	0.4409658885132332		0.6404166666666666		0.5116947191673852
6	0.4152464790622686		0.6287499999999999		0.48987417443820513
7	0.4089640516019826		0.6287499999999999		0.48712432076226814
8	0.40028406847398196		0.6283333333333333		0.48313153886405835
9	0.4120551034905874		0.6408333333333334		0.494363606916244
10	0.4171861872738451		0.6470833333333333		0.5005678924407276
11	0.41265830378461565		0.6533333333333333		0.49896254035788923
12	0.4139029735602512		0.6595833333333333		0.5026175938443356
13	0.4054906695479555		0.6591666666666666		0.4967556201159611
