
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.25650131774228585		0.4708333333333334		0.3053922395977288
3	0.23448825747280364		0.4						0.2697973477901181
4	0.22847135645796302		0.3995833333333334		0.2684684802551352
5	0.23014643434800167		0.4125					0.27537208242819056
6	0.23429929091862056		0.4195833333333333		0.2805456054593197
7	0.22323093877049255		0.4						0.26631899409412185
8	0.22147369927151858		0.41291666666666665		0.2691504470096879
9	0.22740118182078803		0.4195833333333333		0.27484074335987835
10	0.2155272892229414		0.40041666666666664		0.2621596114556664
11	0.22024770727600917		0.4133333333333333		0.26974568374481317
12	0.22079491440199245		0.41999999999999993		0.2714757788433731
13	0.22309143522992242		0.4262499999999999		0.27446930200416664
14	0.22650206396160102		0.4262499999999999		0.27606638610015033
15	0.2258720947982408		0.4262499999999999		0.27534761305579586
16	0.2180373674195757		0.4133333333333333		0.26569014699151683
17	0.21717156655377484		0.4133333333333333		0.26508954639091625
18	0.21709295404383963		0.4133333333333333		0.26611450186984886
19	0.21592628737717295		0.4133333333333333		0.2652608433332635
20	0.21214618768490645		0.4133333333333333		0.26268088685668184
21	0.20732763302120177		0.4066666666666666		0.2581870942299588

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.2668195082144652		0.44416666666666665		0.30549711089955484
4	0.2622415906850397		0.4570833333333333		0.30838385764683274
5	0.2674305427721891		0.4766666666666667		0.3191245375030772
6	0.25050160387533993		0.46374999999999994		0.30341571629242864
7	0.2525707925583975		0.46374999999999994		0.30431917364597905
8	0.24483054818538688		0.46374999999999994		0.2984452184452185
9	0.23033684783467784		0.43249999999999994		0.27976274504405174
10	0.22848081663900546		0.4258333333333333		0.27563149967226386
11	0.2409617342195443		0.45166666666666666		0.2925107406068712
12	0.2480199588968532		0.45833333333333337		0.2983495359591858
13	0.2456401750346529		0.4708333333333334		0.299861371748126
14	0.24980428280928418		0.4708333333333334		0.30336630817150334
15	0.2515934332459756		0.4708333333333334		0.3048553982879325
16	0.24506477671731908		0.4575					0.2959423364537136
17	0.2448267306927911		0.4575					0.2957643915915582
18	0.25787085952340183		0.4766666666666667		0.3121507342011296
19	0.25973875786671		0.48291666666666666		0.3150071175838288
20	0.2628210864301505		0.48291666666666666		0.3165614617940199
21	0.2549116726172051		0.48291666666666666		0.3127854541057842
22	0.2497656770665933		0.48291666666666666		0.30952162705375685

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.2711305526617357		0.48875					0.32264529005126197
5	0.28655882945284256		0.515					0.34052293358471847
6	0.2611785714091194		0.4766666666666667		0.3135479736623901
7	0.2558831168831169		0.46416666666666667		0.30655714002278195
8	0.24475459171243896		0.46374999999999994		0.29807067287244615
9	0.24699998700578435		0.4520833333333334		0.29666641987061615
10	0.2486418921698951		0.45166666666666666		0.29858598486289345
11	0.24354061903474494		0.45791666666666664		0.2974888777195732
12	0.2459120978655601		0.4645833333333334		0.2989652882551078
13	0.2481553549284031		0.4708333333333334		0.30228150200921156
14	0.2541254684013305		0.4708333333333334		0.30731216709394615
15	0.2505545658587298		0.4708333333333334		0.3057434086737749
16	0.25043541896872223		0.4708333333333334		0.30547418719916186
17	0.24732540903892702		0.4708333333333334		0.3028880806821518
18	0.25563161342265434		0.49000000000000005		0.3159942287902706
19	0.25838082871532536		0.49625					0.3194971309268937
20	0.25188016351900794		0.4958333333333334		0.315165042506678
21	0.24768558208695537		0.4958333333333334		0.312561121804261
22	0.24360823690235595		0.4958333333333334		0.30975573421739167
23	0.23968201236119097		0.4833333333333334		0.30308865484397407




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.36435286432602154		0.5329166666666667		0.39906613784460443
3	0.3514877903113197		0.49458333333333326		0.3817128960958832
4	0.3775280412673069		0.5391666666666668		0.41604813324468415
5	0.37058749815715764		0.54625					0.4140696174027297
6	0.3668640137214306		0.5529166666666667		0.41507361896417966
7	0.3501905485695624		0.5462499999999999		0.40044854427762144
8	0.3501927675947971		0.5466666666666667		0.40189272465921305
9	0.3441889114011876		0.56625					0.4049893805457788
10	0.3467439932393493		0.56625					0.40609730677100264
11	0.3474840656419603		0.5795833333333335		0.4111200636903213
12	0.33589861943442123		0.5666666666666667		0.3983960609460004
13	0.33656214399635453		0.5666666666666667		0.39848201641621406
14	0.3392762751033428		0.5666666666666667		0.3986921362144486
15	0.3368716421389385		0.5666666666666667		0.3987587214209318
16	0.33643579860586376		0.56625					0.39550315563641786
17	0.3362508306915725		0.56625					0.3953891955224577
18	0.3442929186920896		0.5791666666666667		0.4067759683769726
19	0.3437286020563444		0.5858333333333333		0.4102207306025229
20	0.34340584137312374		0.5925					0.413324698980325
21	0.34170274984043203		0.5991666666666667		0.415447363942711

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.45290092544781213		0.6116666666666667		0.4854308418387684
4	0.423132704009986		0.6054166666666667		0.47216480818869166
5	0.4140583393214972		0.6308333333333334		0.47464287076668377
6	0.39237800739760426		0.64375					0.4669138186016067
7	0.3935535934883761		0.6504166666666666		0.46729069942703544
8	0.3928325112535639		0.6575					0.4686715963738621
9	0.3756098339877336		0.6449999999999999		0.4556305632043423
10	0.3703573640838449		0.63125					0.4461341143958741
11	0.3573208649313384		0.6441666666666667		0.4419808774221142
12	0.357869871572831		0.6379166666666667		0.440722658834114
13	0.3555862816421823		0.6441666666666667		0.4409727897896542
14	0.35139093675747807		0.6375					0.43761998868391594
15	0.35110748087773613		0.6441666666666667		0.4398356490645757
16	0.3447783851368757		0.64375					0.43419485662829754
17	0.3440678222980013		0.6441666666666667		0.4328777285214961
18	0.34873207878622153		0.6504166666666666		0.4391605678636452
19	0.3394651224273282		0.6504166666666668		0.4330389929208742
20	0.33123283753600435		0.64375					0.425054989665102
21	0.3215532628138007		0.6308333333333334		0.413448313096867
22	0.3161159024042319		0.6245833333333334		0.40818808469046963

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.40355961315271943		0.6308333333333334		0.47179977978687077
5	0.4083258153995558		0.6566666666666666		0.48338460336820105
6	0.38425451186277215		0.6379166666666667		0.4608555495538417
7	0.3791136744552894		0.6379166666666667		0.4555569158695095
8	0.3816628976533405		0.6512499999999999		0.46073152956914515
9	0.3703767504425399		0.6516666666666666		0.45562587893470247
10	0.3817641653152489		0.6575					0.46321933094738893
11	0.3695173706850434		0.66375					0.45733199521224677
12	0.3612097369828617		0.6633333333333333		0.4515086666736538
13	0.3596709785000573		0.6570833333333332		0.4478453413602764
14	0.35677707306745216		0.6508333333333333		0.4455531494899125
15	0.35445070638569093		0.6575					0.446377188574821
16	0.3437232112731012		0.6570833333333332		0.43734065386751253
17	0.34377538014678033		0.6570833333333334		0.4375374369616611
18	0.3453586027499071		0.6570833333333334		0.43901945430789
19	0.33811531696792163		0.6441666666666667		0.430358131028326
20	0.33228742135171274		0.6375					0.42310239783068093
21	0.3336867579706454		0.6375					0.4240298967694118
22	0.3262813593181072		0.6308333333333332		0.4172521304510018
23	0.31766193540791177		0.6183333333333333		0.4064953108456497



