
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.7289285714285715		0.26208333333333333		0.3752093076006119
3	0.715465367965368		0.25					0.3425663456757816
4	0.7644871794871795		0.25583333333333336		0.3672945110412909
5	0.7461111111111112		0.26916666666666667		0.383673122199438
6	0.7945238095238095		0.23083333333333336		0.34705797858981324
7	0.7558333333333332		0.21125000000000002		0.3163489606368863
8	0.7973593073593073		0.28125					0.39731414554943967
9	0.7673015873015874		0.19791666666666669		0.3000627784294496
10	0.7642748917748918		0.2879166666666667		0.39865501829898115
11	0.761984126984127		0.255					0.37054275468328507
12	0.7492063492063492		0.2754166666666667		0.38569215122533207
13	0.7850793650793652		0.2695833333333334		0.38780936297964164
14	0.815399877899878		0.28208333333333335		0.3919963994521577
15	0.8047619047619048		0.29500000000000004		0.40833460656990067
16	0.7768253968253969		0.2754166666666667		0.39334286765865717
17	0.7583333333333333		0.24208333333333337		0.3474488256841198
18	0.7872619047619047		0.2679166666666667		0.3896947636650153
19	0.7999999999999999		0.2754166666666667		0.38980704844280023
20	0.7313888888888889		0.26125000000000004		0.35972577599633726
21	0.7278571428571429		0.24375000000000005		0.3595754207653521

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.7190873015873016		0.3470833333333333		0.4549609379818282
4	0.7868253968253968		0.3458333333333333		0.47249687993166256
5	0.611074481074481		0.32083333333333336		0.41572490677738055
6	0.7833333333333333		0.3016666666666667		0.4235458706053672
7	0.8273809523809523		0.30041666666666667		0.4207209165103902
8	0.7825396825396825		0.32708333333333334		0.44987665474621996
9	0.7540656565656565		0.3070833333333334		0.4232163456511282
10	0.8223443223443224		0.2679166666666667		0.3893697409668372
11	0.7349206349206349		0.23708333333333337		0.341914140734305
12	0.7976587301587301		0.2816666666666667		0.4025949326544292
13	0.7209126984126983		0.28208333333333335		0.39696102905485053
14	0.7505952380952381		0.2816666666666667		0.394948345831641
15	0.6520238095238096		0.23625000000000002		0.3437428056306775
16	0.815064935064935		0.3070833333333333		0.43534830708743755
17	0.7674603174603175		0.2816666666666667		0.4042996820113525
18	0.7821428571428571		0.26875000000000004		0.38670264361205264
19	0.7876984126984127		0.2883333333333334		0.40751039248064413
20	0.7883333333333334		0.275					0.3896307345904869
21	0.7157142857142857		0.27					0.38348820668271466
22	0.800436507936508		0.29500000000000004		0.4198629148629148

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.684047619047619		0.35791666666666666		0.45783816910324615
5	0.7577380952380952		0.3645833333333333		0.4766704310182571
6	0.8105339105339106		0.32666666666666666		0.45294041867954904
7	0.7318681318681318		0.3258333333333333		0.43757697233196324
8	0.7267948717948718		0.28041666666666665		0.3832736313186831
9	0.7680303030303031		0.2625					0.37472766884531594
10	0.7566666666666666		0.2879166666666667		0.3997987626408679
11	0.748864468864469		0.2941666666666667		0.40888150707057036
12	0.7615295815295815		0.27458333333333335		0.3811536796536797
13	0.8224358974358974		0.30125					0.42479327362172314
14	0.7712698412698413		0.31958333333333333		0.4358480985071374
15	0.7452777777777778		0.28					0.39581203007518795
16	0.8212698412698414		0.29541666666666666		0.4171799039565899
17	0.8085497835497835		0.30083333333333334		0.4226547043938348
18	0.7842388167388167		0.31375					0.42901572315302294
19	0.7578571428571429		0.25000000000000006		0.36366527192614145
20	0.7851190476190476		0.25583333333333336		0.3714064330398965
21	0.8341666666666667		0.26958333333333334		0.39434146961606914
22	0.7641666666666668		0.2808333333333334		0.39192115410650885
23	0.8325091575091574		0.2945833333333333		0.41870273077847314




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.6395709845709845		0.39666666666666667		0.47664947553385695
3	0.7466849816849817		0.40374999999999994		0.5056848848303122
4	0.6582414317708436		0.41500000000000004		0.49130237079262573
