
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.4038417789939529		0.5700000000000001		0.4558872974262432
3	0.40110662213603393		0.55					0.4532981775838919
4	0.4251730373672344		0.545					0.4694115404158815
5	0.4113677814079792		0.5445833333333334		0.4608690072897487
6	0.4045256290575311		0.51375					0.4435356608808464
7	0.42589626468302944		0.4866666666666667		0.44372409694313475
8	0.43821128771643647		0.5325					0.47093196860264347
9	0.415364409925106		0.48708333333333337		0.4378654999583639
10	0.41169895736072204		0.4304166666666667		0.40756545866644045
11	0.41839985831162296		0.45499999999999996		0.4274811611547604
12	0.43065964822930763		0.4866666666666667		0.44492880649641264
13	0.42182805620305625		0.475					0.43525683150683153
14	0.4284147483063892		0.48125					0.44118491186882036
15	0.42306917211328976		0.4554166666666667		0.42566500208258073
16	0.3990000000000001		0.44208333333333333		0.4055346910801806
17	0.4223137169847696		0.43					0.41373197068713036
18	0.4070537674885501		0.41666666666666663		0.40144284690973997
19	0.45370825253178193		0.50625					0.46880577755577757
20	0.39651251526251524		0.39125					0.38727187897491505
21	0.3857263814616756		0.38458333333333333		0.3763004896757019

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.39861079434815705		0.55625					0.45264456912794504
4	0.3929669760400679		0.5129166666666667		0.436850140174066
5	0.4005377443259392		0.5066666666666667		0.4390661586769989
6	0.41428553853553857		0.5070833333333333		0.4472833385557819
7	0.4130267607424358		0.475					0.432202908774076
8	0.4402467900475708		0.5070833333333333		0.46420581055555593
9	0.4184355742296919		0.47541666666666665		0.4379108505076942
10	0.40394746860354613		0.4620833333333333		0.4222140485267018
11	0.39657025255314926		0.44875					0.4117493937821262
12	0.4175441116617587		0.475					0.43541275682233715
13	0.3809878255845748		0.42374999999999996		0.39001546465815234
14	0.3999097520836651		0.4295833333333333		0.4048859005483324
15	0.3824381040717358		0.4054166666666667		0.3852733339797778
16	0.3770434739552387		0.4175					0.38855570318886035
17	0.368416149068323		0.4054166666666667		0.3762157935540641
18	0.3675383141762453		0.39916666666666667		0.3708253623770865
19	0.3529566878483287		0.3804166666666667		0.3557941239127443
20	0.3764717922256622		0.39958333333333335		0.3788946568734948
21	0.36706860855286644		0.3983333333333334		0.37327745430417986
22	0.38166666666666665		0.4050000000000001		0.3831071158205883

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.3877037022145381		0.48125					0.4194251480997309
5	0.4155194871236062		0.5133333333333333		0.4549173914310213
6	0.3855679832900928		0.4820833333333333		0.41841772496483876
7	0.43038963806866615		0.48125					0.4446487742916231
8	0.3761179910560715		0.42458333333333337		0.39121856559000767
9	0.3934990287490287		0.45041666666666663		0.4110821415426679
10	0.40505272986387536		0.4683333333333334		0.4287194337194338
11	0.39774562607043423		0.4054166666666667		0.39555005591303233
12	0.3838034759358289		0.40499999999999997		0.3858468181048827
13	0.37742018855609116		0.3983333333333334		0.37836320825029035
14	0.37999179432538566		0.41166666666666674		0.3860077189213428
15	0.3618279488829025		0.3920833333333334		0.36756298097427137
16	0.3894399930844944		0.40374999999999994		0.38695230142393655
17	0.38636363636363635		0.3916666666666667		0.37768294861461243
18	0.3625374560080442		0.37333333333333335		0.3563561215769552
19	0.38003429319218796		0.3795833333333334		0.3721246952281435
20	0.35418650793650797		0.36083333333333334		0.34457319189970065
21	0.3752029375852905		0.3808333333333333		0.3695571237072973
22	0.3642933239218069		0.3666666666666667		0.3562014873161625
23	0.39671224853577797		0.36750000000000005		0.370015554113627




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.3783379845687015		0.6658333333333334		0.4749117517873599
3	0.38637794859356833		0.6791666666666667		0.48309679534463346
4	0.3877931152394068		0.6345833333333333		0.4728157754700858
5	0.3840903294080916		0.6404166666666666		0.47267090713800186
6	0.3944463688485428		0.6283333333333333		0.4727780222915012
7	0.39527307527307526		0.6029166666666667		0.46561395126612515
8	0.4015397351254773		0.6533333333333333		0.4870638367392153
9	0.3994115287931762		0.6408333333333334		0.481825096584996
10	0.4013484787967546		0.6091666666666666		0.47232306989785133
11	0.40898215808062355		0.6158333333333333		0.48019073466587514
12	0.4224300768778491		0.6091666666666666		0.4835915054380336
13	0.40260375425592826		0.6408333333333334		0.4844799188478442
14	0.4061853943158291		0.6158333333333333		0.4763431476893684
15	0.4134661157487245		0.6283333333333333		0.4850385038859198
16	0.4054252954252954		0.6345833333333333		0.4835269413258949
17	0.3928798123093717		0.5770833333333333		0.45752249336042583
18	0.38282483915779114		0.59625					0.4592809031012332
19	0.3910545818810558		0.6012500000000001		0.46054390224505076
20	0.3930943832030788		0.5770833333333333		0.46013845570010564
21	0.40156941377742267		0.5954166666666666		0.4705338267592583

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.39886915128294437		0.6404166666666666		0.48282759640625583
4	0.4000348870664254		0.64					0.48295414152471156
5	0.3857578561789088		0.5954166666666667		0.4602622261470743
6	0.390317331791016		0.6024999999999999		0.4637804766799721
7	0.39173005939310285		0.6020833333333333		0.4632090104386378
8	0.4242129272745544		0.6537499999999999		0.5051759269552561
9	0.4038589779807801		0.64125					0.48784313314553424
10	0.4088963450342761		0.635					0.4914682682103109
11	0.3902046480061233		0.5962500000000001		0.45679501863054484
12	0.39800677973852844		0.6095833333333334		0.4672898437260139
13	0.4157625765039558		0.6279166666666667		0.48769232945703533
14	0.418522715437416		0.6083333333333333		0.4851233115938999
15	0.3863871482544924		0.6029166666666667		0.45929791669308334
16	0.404698618611662		0.6154166666666666		0.4783860154500668
17	0.40473802060008957		0.5958333333333334		0.4722303364430228
