
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.45523153498001834		0.7412500000000001		0.5568910042864494
3	0.4345983589087809		0.7475					0.54158709292694
4	0.42512587050630535		0.7604166666666667		0.5381753895059644
5	0.4202630491950588		0.7804166666666666		0.5385359342602589
6	0.41277817074368794		0.7995833333333333		0.5370159493245144
7	0.40989402883372766		0.8125					0.5363802870194508
8	0.40968653787732734		0.8320833333333333		0.5415162330943335
9	0.40935950841611213		0.8387499999999999		0.5415549730317629
10	0.4071313444232422		0.8387499999999999		0.5394733403787015
11	0.3998406746885448		0.8387499999999999		0.5329020471863626
12	0.40214575605022995		0.845					0.5364719514022296
13	0.40216613736501206		0.845					0.5365614810064463
14	0.3943959978984881		0.8516666666666666		0.5312353712888149
15	0.3914949988164018		0.8516666666666666		0.5286501068380438
16	0.3871955428402048		0.845					0.524365471694235
17	0.3833397528274623		0.845					0.5202709900482584
18	0.38755743886178673		0.8516666666666666		0.5254382936769284
19	0.38551553024093066		0.8516666666666666		0.5235587963853493
20	0.38241513371948155		0.8516666666666666		0.5212094447463195
21	0.3815244915244915		0.8583333333333334		0.5211753908787518

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.5423201798201798		0.5341666666666667		0.40601658122297773
4	0.47774362376529556		0.6595833333333333		0.546156845109795
5	0.4709163519658876		0.6566666666666666		0.54118681706917
6	0.46056016045146475		0.7145833333333333		0.5530032460680754
7	0.4581786721246991		0.7541666666666667		0.5608984480657941
8	0.43492107243342276		0.7608333333333334		0.5437785459475946
9	0.4297473181580325		0.7808333333333333		0.5451376726289395
10	0.4252595749845325		0.8						0.546844080190042
11	0.4301497695852534		0.8262499999999999		0.5579538259953996
12	0.4319959234314073		0.8262499999999999		0.5593475542183961
13	0.42012698862377207		0.8324999999999999		0.5506641241131641
14	0.4202751723716195		0.8391666666666667		0.5521462384900152
15	0.41273834794589065		0.8324999999999999		0.5440401938172739
16	0.40491868305135126		0.8324999999999999		0.5366448192245356
17	0.3978352480045338		0.8324999999999999		0.5301481505153672
18	0.3986177671098548		0.8324999999999999		0.5308622882646562
19	0.3928309180208586		0.8387499999999999		0.5265090553272307
20	0.39316885964912285		0.8324999999999999		0.5254582742377366
21	0.3899063135750442		0.845					0.5255815871173839
22	0.3856489038996779		0.8387499999999999		0.5202560048928799

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.5387776660648178		0.6141666666666667		0.5154234433236896
5	0.48362044817927174		0.6641666666666667		0.5523010984613094
6	0.4731637156637157		0.7079166666666666		0.5593156250716161
7	0.4664217551286517		0.7479166666666667		0.5663713974497054
8	0.4457352738196729		0.7541666666666667		0.5509130363927366
9	0.4266772034631713		0.7737499999999999		0.5417931688142773
10	0.42142250070487497		0.7870833333333332		0.5402851239134736
11	0.41691988502553523		0.7933333333333332		0.5382601556896472
12	0.42404003267973855		0.8133333333333332		0.5490217590290595
13	0.41393710466299033		0.8195833333333333		0.5413875376971806
14	0.41330026873203674		0.8258333333333333		0.542119854226708
15	0.41228402972153333		0.8324999999999999		0.5431932186324524
16	0.41112140346386405		0.8387499999999999		0.5433613977460355
17	0.400287371904026		0.8324999999999999		0.5323206051408882
18	0.3964001648922526		0.8324999999999999		0.5286667479559084
19	0.3938245995789962		0.8387499999999999		0.5276472879267213
20	0.3933873839342379		0.845					0.5283292704294601
21	0.3929415187260637		0.845					0.5276274493314272
22	0.3861549025644475		0.845					0.52301176359872
23	0.39001754211787654		0.845					0.5258449181371312




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.45710227249985824		0.8004166666666667		0.5741879147437672
3	0.4720091898422207		0.8066666666666666		0.5880009407500155
4	0.4752411274448479		0.7879166666666667		0.584166329511574
5	0.4821299601957497		0.7879166666666667		0.5897218850671295
6	0.48447236314883374		0.78125		0.5899483503760912
7	0.4840188117982235		0.775		0.5869288132929653
8	0.4899073598063368		0.7625		0.5852544018845698
9	0.4884958325252443		0.7625		0.5857264053683787
10	0.49032076950235515		0.75625		0.5855860464176195
11	0.49394596151464387		0.75		0.5851147583828448
12	0.4971717679662569		0.75625		0.589370077531781
13	0.4922997743684568		0.7375		0.5787151736801748
14	0.49365699281140457		0.75		0.5861007018923712
15	0.4916807082264244		0.75		0.5848861269935859
16	0.4930666992223382		0.74375		0.5831294138575965
17	0.48938825679709275		0.7183333333333334		0.5700499436977976
18	0.4940943631161022		0.7308333333333333		0.5776076105462201
19	0.49055228072999535		0.7245833333333334		0.5726280064473429
20	0.49703221428887634		0.7308333333333333		0.5796418588930503
21	0.4924037596604217		0.7245833333333334		0.5744015769821458

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.4487651593732078		0.7941666666666667		0.5634129386192005
4	0.46212434882773196		0.7941666666666667		0.5737788843408949
5	0.4778919421533437		0.7941666666666667		0.5872102073184889
6	0.47944663255008085		0.7875		0.5859575786030614
7	0.4888382029986228		0.7875		0.5931911386937644
8	0.4859442055529012		0.78125		0.5892801914447571
9	0.4886442462529419		0.78125		0.5924614919963757
10	0.48841595841175084		0.775		0.590669908730999
11	0.49135713488233906		0.775		0.5923744541855445
12	0.49051696193347044		0.76875		0.5906682044604268
13	0.4894501056034562		0.76875		0.5896199864310767
14	0.48292069642735835		0.7625		0.5833723341404206
15	0.4888949633884675		0.75625		0.5847580718228474
16	0.4889396007157135		0.74375		0.5797341710652557
17	0.49655564308505495		0.74375		0.5853261927026895
18	0.49801066954008133		0.74375		0.5864889834003638
19	0.48739704175664605		0.7370833333333333		0.5766782646394188
20	0.4927881683434248		0.7433333333333334		0.5827467707691244
21	0.49256230724799843		0.7370833333333333		0.5803832736687852
22	0.493312158913182		0.7370833333333333		0.5817319608053295

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.45888237035295865		0.7941666666666667		0.5724149223978813
5	0.4702938662644545		0.7941666666666667		0.5808275992163219
6	0.48213697668870087		0.7875		0.5892380487729325
7	0.4876120700333594		0.7875		0.5932579823277498
8	0.4856120700333594		0.7875		0.5916726164740913
9	0.48563458763458767		0.78125		0.5898036775794486
10	0.4880216844087812		0.775		0.5900906255389445
11	0.4900424830116231		0.775		0.5913341505324695
12	0.48956124534731915		0.76875		0.5898158548814748
13	0.48579068531360114		0.75625		0.5821261899050221
14	0.48414986534925175		0.7625		0.5849322367609778
15	0.48231163005513417		0.75625		0.5809549640337052
16	0.48877851303709424		0.75		0.5818356560805074
17	0.484604599993616		0.74375		0.5766941024601346
18	0.4934839090903164		0.75625		0.5882938522261816
19	0.4923059082524691		0.7433333333333334		0.5804617780145838
20	0.48586665507408544		0.7370833333333333		0.5753427878388256
21	0.4854542244248126		0.7370833333333333		0.574721769290978
22	0.4832944679172301		0.7370833333333333		0.5735045510005888
23	0.4904848919772194		0.7308333333333333		0.5775330660480266



