
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.11988467601131644		0.25875000000000004		0.15465627321654604
3	0.11994475689472935		0.29125					0.16091293824447753
4	0.12509330616959918		0.32333333333333336		0.1716098489046341
5	0.1369046657653395		0.35541666666666666		0.18856010863608758
6	0.13142927897532403		0.35541666666666666		0.1834698889166093
7	0.12813610334540565		0.35541666666666666		0.18100208673689736
8	0.12828013791436438		0.3616666666666667		0.18172725895828845
9	0.12323626790784518		0.36833333333333335		0.17839534356700854
10	0.1256073537854248		0.3816666666666667		0.18255994728272912
11	0.12274354446162897		0.3879166666666667		0.1800387203913945
12	0.12252369980443445		0.3875					0.17982067889871928
13	0.12356785725988222		0.4066666666666666		0.18345486462608648
14	0.12193687778689136		0.41916666666666663		0.18232812100567664
15	0.1209762859336089		0.41916666666666663		0.18107056324795992
16	0.1235987084217471		0.4258333333333334		0.18472865852281856
17	0.12413089953545511		0.4320833333333334		0.18587471746944256
18	0.12332781579621606		0.45750000000000013		0.18787564748486646
19	0.1270282504062745		0.48291666666666677		0.19424512215286907
20	0.12751039837176853		0.48958333333333337		0.19524747957841443
21	0.12711285963235588		0.4958333333333334		0.19517016096487416

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.1224401039151293		0.29125					0.16362398686448543
4	0.12014229859797783		0.29125					0.1611711138038579
5	0.12068968143907022		0.30416666666666664		0.16430203042113273
6	0.1340160800075648		0.34208333333333335		0.1837707510729823
7	0.13814430761282018		0.35541666666666666		0.1901038083440875
8	0.133581906463004		0.35541666666666666		0.185863233630367
9	0.13152187156791662		0.35541666666666666		0.18359875489599076
10	0.13023744908897733		0.35541666666666666		0.1825325081041731
11	0.12838862859793093		0.35541666666666666		0.18128457261260356
12	0.12867539483136042		0.3616666666666667		0.18224375824092834
13	0.1283084422759975		0.3616666666666667		0.1818030328598798
14	0.12239200408636008		0.3616666666666667		0.17660789075972091
15	0.12300248649346764		0.36833333333333335		0.17810705527872023
16	0.12416423561695455		0.375					0.1801923364452907
17	0.12359889712580538		0.375					0.1794623435422265
18	0.12537645416428128		0.3879166666666667		0.18323555076976267
19	0.1226661048677256		0.3875					0.18001804731977195
20	0.12291249579105652		0.40041666666666664		0.18212887995692034
21	0.121636891958559		0.41291666666666665		0.18151785914149207
