
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.35674576375382827		0.6970833333333333		0.4654794196377975
3	0.33900113579189317		0.7558333333333334		0.46154419872464986
4	0.3197936348887135		0.7875					0.4498468901649022
5	0.30855395557589776		0.8						0.440670292662952
6	0.2913477412319386		0.79375					0.42299199018159933
7	0.2834323396790566		0.7875					0.41458242278827784
8	0.29049015242441534		0.79375					0.4218590653580011
9	0.2822756804725899		0.79375					0.4133729303684003
10	0.27464040308914744		0.7745833333333334		0.4024774129595416
11	0.27505640732868103		0.78125					0.40383983163539305
12	0.28430220529612804		0.79375					0.41440160696460265
13	0.29078881653188027		0.79375					0.4215328194929281
14	0.2839888194204844		0.79375					0.4147940645029407
15	0.28265120456868764		0.8004166666666667		0.41379284419281037
16	0.2804356588016062		0.8066666666666666		0.41388632167201295
17	0.27584967039022146		0.8004166666666667		0.4080961265227797
18	0.27308994065020187		0.8066666666666666		0.40657457775865485
19	0.26857202738332486		0.8066666666666666		0.4016920688232385
20	0.2639727211607066		0.8066666666666666		0.3962885882618013
21	0.2609581694700802		0.8125					0.39368181040692296

n-grams(1-2)
df		 Precision 				 Recall 				 F-score
3	0.3980243419005029		0.6008333333333333		0.4698269852401228
4	0.3595573165585953		0.65875					0.45669445844399553
5	0.3584126984126984		0.7291666666666666		0.4731755887758918
6	0.3371249530436066		0.7424999999999999		0.45676164671352115
7	0.3215757702766044		0.7554166666666666		0.44491653408251997
8	0.32252568592099484		0.7808333333333334		0.45146794031219234
9	0.31267267248118313		0.7808333333333334		0.4419778276321356
10	0.30697483391512737		0.7933333333333333		0.43766517138499417
11	0.3067662438832559		0.80625					0.43971756648348104
12	0.3013377743282005		0.8129166666666666		0.4358523537476042
13	0.302933675367186		0.8191666666666666		0.43849712239834976
14	0.2963467255037022		0.8191666666666666		0.43187747502500773
15	0.28959889000783956		0.8129166666666666		0.4233067167357544
16	0.2897733631293609		0.8129166666666666		0.42405501047933364
17	0.27871578600097335		0.8						0.4100455485325275
18	0.27652047106193034		0.79375					0.4069602995830205
19	0.27572908191339013		0.79375					0.4064810337504139
20	0.2728501018536467		0.8070833333333333		0.4058523359754336
21	0.26464137646618674		0.8195833333333333		0.39826796764033545
22	0.267873561579098		0.8066666666666666		0.4000223428735826

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.37587465629342987		0.6204166666666666		0.45934304367192896
5	0.36134689403452086		0.7041666666666666		0.4686258227268458
6	0.3431062359798128		0.7358333333333332		0.4604146082359078
7	0.3249937263291126		0.7616666666666666		0.4505077876849315
8	0.31899051699401487		0.7679166666666666		0.4456684685875808
9	0.3125457346564424		0.7745833333333334		0.4410900558252144
10	0.3052817872440298		0.7933333333333333		0.43595019835919685
11	0.30417430287756864		0.80625					0.4374470177765873
12	0.29621948265794795		0.8129166666666666		0.43060003411454223
13	0.298836721922746		0.8191666666666666		0.43439680110228773
14	0.29524038594540203		0.8191666666666666		0.43059495237448414
15	0.2907041532639359		0.8195833333333333		0.4248832681150351
16	0.2857580769035625		0.8191666666666666		0.4205165405877257
17	0.2780770904893798		0.80625					0.4103153944903578
18	0.27504209173663574		0.8						0.40624830295414177
19	0.2715950620700475		0.8						0.40282653807983226
20	0.26884800605304393		0.8066666666666666		0.401187967894489
21	0.2590949825982531		0.8133333333333332		0.3913970966672329
22	0.2584004584111434		0.8066666666666666		0.38974303700844826
23	0.2573356151017851		0.8066666666666666		0.3884157483460561




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
2	0.31912649202617255		0.8004166666666667		0.45069428783377996
3	0.3179065947290005		0.7945833333333334		0.4482765000952229
4	0.3266634620645146		0.7945833333333334		0.45521127408618745
5	0.32168401495364396		0.7629166666666667		0.44475427813625973
6	0.3250445882147228		0.7625000000000001		0.4479454390342032
7	0.3202085582725809		0.7625000000000001		0.44415426815912573
