publication_id	pmid	compound_id	compound  chebi_id
1	21907027	1	Polyphenols	
2	11895874	3	Genistein	28088
2	11895874	4	Daidzein	28197
2	11895874	5	Isoflavones	
2	11895874	10	Equol	34741
2	11895874	17	O-Desmethylangolensin	88902
3	16205743	10	Equol	34741
3	16205743	4	Daidzein	28197
3	16205743	3	Genistein	28088
3	16205743	5	Isoflavones	
12	20385037	5	Isoflavones	
12	20385037	3	Genistein	28088
12	20385037	4	Daidzein	28197
12	20385037	15	Glycitein	34778
12	20385037	10	Equol	34741
12	20385037	17	O-Desmethylangolensin	88902
12	20385037	18	Dihydrodaidzein	75842
12	20385037	19	Dihydrogenistein	34707
13	12395214	2	Quercetin	16243
13	12395214	20	Kaempferol	28499
13	12395214	21	Naringenin	17846
13	12395214	22	Hesperetin	28230
13	12395214	27	Flavanones	
13	12395214	26	Flavonols	
14	18791925	3	Genistein	28088
14	18791925	4	Daidzein	28197
14	18791925	15	Glycitein	34778
14	18791925	17	O-Desmethylangolensin	88902
14	18791925	10	Equol	34741
15	17493318	315	Energy	
15	17493318	78	Phloretin	17276
15	17493318	22	Hesperetin	28230
15	17493318	27	Flavanones	
15	17493318	44	Isorhamnetin	6052
15	17493318	31	Enterolactone	81555
15	17493318	5	Isoflavones	
15	17493318	2	Quercetin	16243
15	17493318	49	Flavonoids	
15	17493318	26	Flavonols	
15	17493318	20	Kaempferol	28499
15	17493318	4	Daidzein	28197
15	17493318	3	Genistein	28088
15	17493318	121	Eriodictyol	28412
15	17493318	21	Naringenin	17846
15	17493318	604	Tamarixetin	67492
15	17493318	46	Apigenin	18388
15	17493318	83	alpha-Carotene	28425
15	17493318	84	beta-Cryptoxanthin	10362
15	17493318	85	Zeaxanthin	27547
15	17493318	86	Lycopene	15948
15	17493318	87	Carotenoids	
15	17493318	88	Lutein	28838
15	17493318	89	beta-Carotene	17579
18	21430297	28	Benzo[a]pyrene	29865
18	21430297	29	1-Hydroxypyrene glucuronide	
19	19874633	94	Fibre from Cereals	
19	19874633	95	Dietary fibre	
19	19874633	96	Fibre from Vegetables	
19	19874633	532	Fibre from Fruits	
19	19874633	91	3,5-Dihydroxybenzoic acid	39912
19	19874633	92	3,5-DHPPA	
19	19874633	93	Alkylresorcinol metabolites	
20	15005831	5	Isoflavones	
20	15005831	4	Daidzein	28197
20	15005831	3	Genistein	28088
21	19154810	1	Polyphenols	
22	17449591	30	Enterodiol	81556
22	17449591	31	Enterolactone	81555
22	17449591	32	Lariciresinol	67246
22	17449591	33	Pinoresinol	40
22	17449591	34	Secoisolariciresinol	65004
22	17449591	35	Matairesinol	6698
22	17449591	36	Lignans	25036
23	16411057	37	Biochanin A	17574
23	16411057	38	Formononetin	18088
23	16411057	3	Genistein	28088
23	16411057	4	Daidzein	28197
23	16411057	5	Isoflavones	
23	16411057	40	Coumestrol	3908
23	16411057	35	Matairesinol	6698
23	16411057	34	Secoisolariciresinol	65004
23	16411057	36	Lignans	25036
23	16411057	315	Energy	
23	16411057	30	Enterodiol	81556
23	16411057	31	Enterolactone	81555
23	16411057	18	Dihydrodaidzein	75842
23	16411057	10	Equol	34741
23	16411057	17	O-Desmethylangolensin	88902
23	16411057	15	Glycitein	34778
24	20851305	26	Flavonols	
24	20851305	2	Quercetin	16243
24	20851305	20	Kaempferol	28499
24	20851305	44	Isorhamnetin	6052
24	20851305	48	Flavones	
24	20851305	46	Apigenin	18388
24	20851305	47	Luteolin	15864
24	20851305	49	Flavonoids	
24	20851305	315	Energy	
27	19167481	50	Resveratrol metabolites	
27	19167481	661	cis-Resveratrol 3-O-glucuronide	86971
27	19167481	663	cis-Resveratrol 4'-O-glucuronide	
27	19167481	666	cis-Resveratrol 4'-O-sulfate	
27	19167481	660	trans-Resveratrol 3-O-glucuronide	
27	19167481	665	trans-Resveratrol 3-O-sulfate	84040
27	19167481	664	trans-Resveratrol 4'-O-sulfate	
27	19167481	52	Resveratrols	
27	19167481	609	Resveratrol 3-O-glucoside (cis + trans)	
27	19167481	610	Resveratrol (cis + trans)	
28	11570994	3	Genistein	28088
28	11570994	4	Daidzein	28197
28	11570994	5	Isoflavones	
29	19747418	2	Quercetin	16243
29	19747418	20	Kaempferol	28499
29	19747418	44	Isorhamnetin	6052
29	19747418	26	Flavonols	
29	19747418	46	Apigenin	18388
29	19747418	47	Luteolin	15864
29	19747418	48	Flavones	
29	19747418	49	Flavonoids	
35	22623390	109	Nitrogen	29351
35	22623390	110	Hippuric acid	18089
35	22623390	108	Potassium	29103
35	22623390	106	Proteins	
35	22623390	315	Energy	
36	22437553	91	3,5-Dihydroxybenzoic acid	39912
